cluster_size,db_index
2,3.4226213775587677
3,3.238645380202774
4,2.456909058985807
5,2.5524821747794584
6,2.429564599862761
7,2.560741249422169
8,2.3604566544196164
9,2.249828521073332
10,2.1553742118284447
11,1.9874864050896677
12,1.9450688126840943
13,1.8002724039489661
14,1.7233564470940987
15,1.6901637356304622
16,1.654281661074965
17,1.5772480485100342
18,1.498193378700297
19,1.4567461683376202
20,1.3915097052655563
21,1.3568152316967017
22,1.334971173294644
23,1.2711232743384895
24,1.240864893586844
25,1.1626824806331835
