,fitness,n_attr
876,0.0,6.0
941,0.0,7.0
1044,0.0,7.0
264,0.0,8.0
288,0.0,8.0
411,0.0,8.0
640,0.0,8.0
46,0.0,9.0
482,0.0,9.0
840,0.0,9.0
140,0.0,10.0
476,0.0,10.0
911,0.0,10.0
26,0.0,11.0
133,0.0,11.0
241,0.0,11.0
993,0.0,11.0
996,0.0,11.0
92,0.0,12.0
129,0.0,12.0
179,0.0,12.0
296,0.0,12.0
460,0.0,12.0
472,0.0,12.0
121,0.0,13.0
465,0.0,13.0
14,0.0,14.0
160,0.0,14.0
226,0.0,14.0
227,0.0,14.0
176,0.0,15.0
213,0.0,15.0
217,0.0,15.0
16,0.0,16.0
93,0.0,16.0
190,0.0,16.0
206,0.0,16.0
208,0.0,16.0
3,0.0,18.0
105,0.0,18.0
20,0.0,19.0
25,0.0,19.0
21,0.0,21.0
203,0.1037479157262056,24.0
13,0.10669605635436347,24.0
193,0.11006326659761215,20.0
201,0.11409573994279462,20.0
108,0.11780020203410997,16.0
186,0.11835619406877965,17.0
199,0.11989262717984604,19.0
91,0.1201401377381409,18.0
202,0.12021425216657947,19.0
27,0.12030461924843544,19.0
191,0.12047610483816984,19.0
114,0.12165441097394464,18.0
8,0.12410951332616948,17.0
200,0.1246329899240207,19.0
113,0.12474988924021853,17.0
99,0.12529143844559448,19.0
276,0.12552805107615309,19.0
102,0.12594387224304587,17.0
41,0.12633222959147122,17.0
4,0.12633571813823358,18.0
119,0.12663170848210917,16.0
118,0.12693885686479311,19.0
104,0.12699824879290553,16.0
112,0.1285079513404318,18.0
188,0.12910993516405242,14.0
111,0.13037481572471532,14.0
0,0.13048685155093728,19.0
56,0.1305252632554284,16.0
180,0.1316151874118778,17.0
100,0.13166061608490134,17.0
106,0.1327580504457426,13.0
7,0.13290525002231568,17.0
110,0.1334285287896628,16.0
29,0.13396658933822733,15.0
145,0.13421674833928893,13.0
23,0.13431071643091477,14.0
185,0.13462792853736053,16.0
184,0.1351325119988334,17.0
139,0.13513528903149694,16.0
95,0.13593541864583705,15.0
45,0.13597220998262521,14.0
97,0.13614500165030038,15.0
107,0.13626852829698433,16.0
11,0.13651343553201983,15.0
18,0.13689325098678926,13.0
189,0.13697929268965905,16.0
109,0.13706068952003445,11.0
28,0.1372270503377201,13.0
135,0.13726849027545862,15.0
297,0.13745618809753357,16.0
204,0.13788879565157683,13.0
33,0.13812148482932274,15.0
231,0.1392963574726348,16.0
115,0.1393584952661838,15.0
125,0.1394249188167012,13.0
17,0.13998082487605826,17.0
169,0.14125969778947503,14.0
362,0.14145803838023938,13.0
196,0.14146995650588237,13.0
479,0.14159670838161556,14.0
50,0.1417904997414637,15.0
181,0.14190184796381633,16.0
194,0.1419918478194866,16.0
117,0.1423641355033496,16.0
235,0.14293382398960144,15.0
116,0.1430580608156874,16.0
94,0.14398719837095397,15.0
464,0.1441524168624486,14.0
12,0.1453233640086711,16.0
22,0.1455065688285187,13.0
141,0.14576131570290507,12.0
183,0.14595651816763483,12.0
6,0.1459751205373919,14.0
205,0.14605311246759953,13.0
42,0.1463865440772712,14.0
127,0.14645341244909513,14.0
451,0.1465826480965219,12.0
19,0.1471194454463337,13.0
273,0.14726418063336136,12.0
192,0.14789162544288628,14.0
36,0.14804020104497936,13.0
90,0.1481496548181789,14.0
370,0.14903725608427548,14.0
224,0.14908082226210762,13.0
459,0.14978226771334294,12.0
234,0.15001805638627477,12.0
1013,0.15047760191052523,12.0
