k,iteration,random_seed,db_index
2,0,359,0.9973878565997503
3,0,359,0.8316812139619271
4,0,359,0.9134647519640585
5,0,359,0.9873575371201382
6,0,359,1.0506239943156566
7,0,359,0.9358079598623367
8,0,359,0.9940938104311245
9,0,359,0.9473053274773088
10,0,359,0.9317700044484363
11,0,359,0.9859810589880709
12,0,359,0.9995165327256837
13,0,359,0.9661923943821846
2,1,359,0.9973878565997503
3,1,359,0.8316812139619271
4,1,359,0.9134647519640585
5,1,359,0.9873575371201382
6,1,359,1.0506239943156566
7,1,359,0.9358079598623367
8,1,359,0.9940938104311245
9,1,359,0.9473053274773088
10,1,359,0.9317700044484363
11,1,359,0.9859810589880709
12,1,359,0.9995165327256837
13,1,359,0.9661923943821846
2,2,359,0.9973878565997503
3,2,359,0.8316812139619271
4,2,359,0.9134647519640585
5,2,359,0.9873575371201382
6,2,359,1.0506239943156566
7,2,359,0.9358079598623367
8,2,359,0.9940938104311245
9,2,359,0.9473053274773088
10,2,359,0.9317700044484363
11,2,359,0.9859810589880709
12,2,359,0.9995165327256837
13,2,359,0.9661923943821846
2,3,359,0.9973878565997503
3,3,359,0.8316812139619271
4,3,359,0.9134647519640585
5,3,359,0.9873575371201382
6,3,359,1.0506239943156566
7,3,359,0.9358079598623367
8,3,359,0.9940938104311245
9,3,359,0.9473053274773088
10,3,359,0.9317700044484363
11,3,359,0.9859810589880709
12,3,359,0.9995165327256837
13,3,359,0.9661923943821846
2,4,359,0.9973878565997503
3,4,359,0.8316812139619271
4,4,359,0.9134647519640585
5,4,359,0.9873575371201382
6,4,359,1.0506239943156566
7,4,359,0.9358079598623367
8,4,359,0.9940938104311245
9,4,359,0.9473053274773088
10,4,359,0.9317700044484363
11,4,359,0.9859810589880709
12,4,359,0.9995165327256837
13,4,359,0.9661923943821846
